,SPECOBJID,RA,DEC
559,b'    468542616909146112',56.485754,0.84351538
560,b'    468542893028567040',56.485754,0.84351538
561,b'    469518983402383360',8.6428725,14.481394
562,b'    469588252634933248',7.0953626,14.361733
563,b'    469639105047717888',8.2417827,15.458354
564,b'    469676213565155328',8.7348431,15.423406
565,b'    470705906137458688',8.535871,13.810846
566,b'    470725422468851712',8.7829881,16.157189
567,b'    470737791974664192',8.8691998,16.094386
568,b'    470753460015360000',9.1656965,15.407223
569,b'    470727347738273792',8.7518678,16.153195
570,b'    470730646273157120',8.7829881,16.157189
571,b'    470752911383619584',9.1656965,15.407223
572,b'    471756764291819520',12.309974,13.909242
573,b'    471766110140655616',11.826372,13.978277
574,b'    471791124030187520',11.286445,14.742179
575,b'    471806792070883328',10.824362,14.640935
576,b'    471874961791805440',11.026985,15.546494
577,b'    471753466696460288',12.309974,13.909242
578,b'    471768310103435264',11.826372,13.978277
579,b'    471791124969711616',11.286445,14.742179
580,b'    471805143742965760',10.824362,14.640935
581,b'    471754566392637440',12.309974,13.909242
582,b'    471767210776356864',11.826372,13.978277
583,b'    471794148811237376',11.286445,14.742179
584,b'    471795248322865152',11.264753,14.775823
585,b'    471802944904259584',10.824362,14.640935
586,b'    472929119554791424',13.24391,14.908391
587,b'    472951384665253888',12.672706,14.525683
588,b'    473031649014081536',14.205406,15.370462
589,b'    474030554489055232',15.45117,13.961505
590,b'    474108070058813440',14.792453,15.754904
591,b'    474167718564620288',16.083122,15.351734
592,b'    475213628832770048',16.023126,14.232424
593,b'    475238643846375424',16.248152,15.236366
594,b'    476294174052739072',19.007079,13.938359
595,b'    476296922831808512',19.091096,14.278501
596,b'    476307093314365440',18.683586,14.465604
597,b'    476390381320169472',18.861271,15.165184
